--- DEVICE FORENSICS LOG ---
MAC,E2:9D:6E:15:46:74
IP,192.168.10.241
Exported At,2026-05-03T23:53:51.891222

--- DNS QUERY HISTORY ---
Timestamp,Domain,Type
2026-05-03 20:50:53,assets.kooora.com,A
2026-05-03 20:50:53,cdn.privacy-mgmt.com,A
2026-05-03 20:50:52,www.google.com,A
2026-05-03 20:50:52,www.google.com,A
2026-05-03 20:50:52,connectivitycheck.gstatic.com,A
2026-05-03 20:50:52,www.google.com,A
2026-05-03 20:50:52,connectivitycheck.gstatic.com,A
2026-05-03 20:50:52,www.google.com,A
2026-05-03 20:50:50,www.kooora.com,A
2026-05-03 20:50:50,www.kooora.com,A
2026-05-03 20:50:50,cdn.privacy-mgmt.com,A
2026-05-03 20:50:50,assets.kooora.com,A
2026-05-03 20:50:50,assets.kooora.com,A
2026-05-03 20:50:50,cdn.privacy-mgmt.com,A
2026-05-03 20:50:50,www.kooora.com,A
2026-05-03 20:50:50,www.kooora.com,A
2026-05-03 20:50:50,assets.kooora.com,A
2026-05-03 20:50:50,assets.kooora.com,A
2026-05-03 20:50:50,cdn.privacy-mgmt.com,A
2026-05-03 20:50:50,cdn.privacy-mgmt.com,A
2026-05-03 20:50:50,www.kooora.com,A
2026-05-03 20:50:50,assets.kooora.com,A
2026-05-03 20:50:50,cdn.privacy-mgmt.com,A
2026-05-03 20:50:50,www.kooora.com,A
2026-05-03 20:50:50,assets.kooora.com,A
2026-05-03 20:50:50,cdn.privacy-mgmt.com,A
2026-05-03 20:50:49,www.google.com,A
2026-05-03 20:50:49,connectivitycheck.gstatic.com,A
2026-05-03 20:50:49,www.google.com,A
2026-05-03 20:50:49,connectivitycheck.gstatic.com,A
2026-05-03 20:50:49,www.google.com,A
2026-05-03 20:50:46,connectivitycheck.gstatic.com,A
2026-05-03 20:50:46,www.google.com,A
2026-05-03 20:50:46,connectivitycheck.gstatic.com,A
2026-05-03 20:50:46,www.google.com,A
2026-05-03 20:50:36,www.google.com,A
2026-05-03 20:49:57,_googlecast._tcp.local,A
2026-05-03 20:49:37,_googlecast._tcp.local,A
2026-05-03 20:49:37,_googlecast._tcp.local,A
2026-05-03 20:49:36,_googlecast._tcp.local,A
2026-05-03 20:49:36,_googlecast._tcp.local,A
2026-05-03 20:43:48,z-m-gateway.facebook.com.tariq-domain,A
2026-05-03 20:43:48,z-m-gateway.facebook.com.tariq-domain,A
2026-05-03 20:43:48,z-m-gateway.facebook.com,A
2026-05-03 20:43:48,z-m-gateway.facebook.com,A
2026-05-03 20:43:47,api16-access-wf-sg.pangle.io,A
2026-05-03 20:43:47,api16-access-wf-sg.pangle.io,A
2026-05-03 20:43:47,www.google.com.tariq-domain,A
2026-05-03 20:43:47,connectivitycheck.gstatic.com.tariq-domain,A
2026-05-03 20:43:47,www.google.com.tariq-domain,A
2026-05-03 20:43:47,connectivitycheck.gstatic.com.tariq-domain,A
2026-05-03 20:43:45,z-m-gateway.facebook.com.tariq-domain,A
2026-05-03 20:43:45,z-m-gateway.facebook.com.tariq-domain,A
2026-05-03 20:43:45,z-m-gateway.facebook.com,A
2026-05-03 20:43:45,z-m-gateway.facebook.com,A
2026-05-03 20:43:44,api16-access-wf-sg.pangle.io,A
2026-05-03 20:43:44,api16-access-wf-sg.pangle.io,A
2026-05-03 20:43:44,www.google.com,A
2026-05-03 20:43:44,www.google.com,A
2026-05-03 20:43:44,connectivitycheck.gstatic.com,A
2026-05-03 20:43:44,www.google.com,A
2026-05-03 20:43:44,www.google.com,A
2026-05-03 20:43:44,connectivitycheck.gstatic.com,A
2026-05-03 20:43:42,z-m-gateway.facebook.com.tariq-domain,A
2026-05-03 20:43:42,z-m-gateway.facebook.com,A
2026-05-03 20:43:41,www.gstatic.com.tariq-domain,A
2026-05-03 20:43:41,www.gstatic.com.tariq-domain,A
2026-05-03 20:43:41,z-m-gateway.facebook.com.tariq-domain,A
2026-05-03 20:43:41,z-m-gateway.facebook.com.tariq-domain,A
2026-05-03 20:43:41,www.google.com,A
2026-05-03 20:43:41,www.google.com,A
2026-05-03 20:43:41,www.google.com,A
2026-05-03 20:43:41,connectivitycheck.gstatic.com,A
2026-05-03 20:43:41,www.google.com,A
2026-05-03 20:43:41,connectivitycheck.gstatic.com,A
2026-05-03 20:43:39,z-m-gateway.facebook.com,A
2026-05-03 20:43:39,z-m-gateway.facebook.com,A
2026-05-03 20:43:38,www.gstatic.com.tariq-domain,A
2026-05-03 20:43:38,www.gstatic.com.tariq-domain,A
2026-05-03 20:43:38,z-m-gateway.facebook.com.tariq-domain,A
2026-05-03 20:43:38,connectivitycheck.gstatic.com,A
2026-05-03 20:43:38,connectivitycheck.gstatic.com,A
2026-05-03 20:43:38,www.google.com,A
2026-05-03 20:43:38,www.google.com,A
2026-05-03 20:43:36,z-m-gateway.facebook.com,A
2026-05-03 20:43:36,z-m-gateway.facebook.com,A
2026-05-03 20:43:35,www.gstatic.com.tariq-domain,A
2026-05-03 20:43:35,www.gstatic.com.tariq-domain,A
2026-05-03 20:43:35,z-m-gateway.facebook.com.tariq-domain,A
